domain,subject,course_title,university,faculty,rating,review_count,registered_students,tags,cost,start_date,session,language,certificate,duration
Personal Development,Self Improvement,Digital Discovery 2: Expand Your World Online,Australia Post,Marcus O'Donnell,0,"
        ",73,"digital skills,self improvement",Free Online Course (Audit),2018-06-18,Finished,English,"
              Paid Certificate Available
            ",2 weeks long
Personal Development,Self Improvement,Digital Discovery 1: Build Your Confidence Online,Deakin University,Marcus O'Donnell,0,"
        ",111,"digital literacy,digital skills",Free Online Course (Audit),2018-06-04,Finished,English,"
              Paid Certificate Available
            ",2 weeks long
Personal Development,Self Improvement,How to Read Your Boss,The University of Nottingham,Louise Mullany,3,"
        ",485,"business communication,europe,uk",Free Online Course (Audit),2018-04-16,Finished,English,"
              Paid Certificate Available
            ",2 weeks long
Personal Development,Communication Skills,Negoziazione e comunicazione efficace,University of Naples Federico II,Davide Marocco,0,"
        ",19,"europe,italy",Free Online Course,2018-02-19,Finished,Italian,,8 weeks long
Personal Development,Communication Skills,An Introduction to Conflict Resolution,Queen Margaret University,Denny Roberts and Nial Vivian,0,"
        ",63,conflict resolution,Free Online Course,2018-02-19,Finished,English,,3 weeks long
Personal Development,Personal Development,Introducción a la gamificación a través de casos prácticos,Universitat Oberta de Catalunya,Daniel Riera Terrén and Joan Arnedo Moreno,0,"
        ",7,gamification,Free Online Course,2018-02-05,Finished,Spanish,,5 weeks long
Personal Development,Personal Development,Siete habilidades clave en la era digital,Universidad Politécnica de Madrid,"Juan Medina Molina, David Carabantes Alarcón and Fabián García Pastor",0,"
        ",,digital skills,Free Online Course,2018-01-15,Finished,Spanish,,7 weeks long
Personal Development,Communication Skills,Listening and Presenting: Learning English for Academic Purposes,The Open University,Mirjam Hauck,0,"
        ",59,"communication,presentations,listening skills",Free Online Course (Audit),2018-01-08,Finished,English,"
              Paid Certificate Available
            ",6 weeks long
Personal Development,Career Development,How to Succeed in the Global Workplace,British Council,Pamela Hafekost and Simon Carrie,0,"
        ",63,"europe,uk,workplace success",Free Online Course (Audit),2017-11-20,Finished,English,"
              Paid Certificate Available
            ",4 weeks long
Personal Development,Career Development,Leveraging the Power of Professional Communities,"University of California, San Diego ",Jess Yuen and Gretchen Laue,0,"
        ",100,"networking,professional relationships",Free Online Course (Audit),2017-11-13,Finished,English,"
              Paid Certificate Available
            ",5 weeks long
Personal Development,Communication Skills,The Dynamics of Group Communication,University of Colorado Boulder,"Matthew A. Koschmann, PhD",0,"
        ",180,"communication,group communication",Free Online Course (Audit),2017-11-13,Finished,English,"
              Paid Certificate Available
            ",4 weeks long
Personal Development,Communication Skills,ga087: 上司を活かし組織を動かす実践フォロワーシップ講座,gacco,"Natsuko Fukui, Takaya Kawada and Yaguki Yaguchi",0,"
        ",2,"communication,teamwork",Free Online Course,2017-11-01,Finished,Japanese,,4 weeks long
Personal Development,Communication Skills,Persuasive Communication: What Makes Messages Persuasive?,Purdue University,Dr. Bart Collins,0,"
        ",218,"usa,north america",Free Online Course (Audit),2017-10-16,Finished,English,"
              Paid Certificate Available
            ",3 weeks long
Personal Development,Communication Skills,Negociación y resolución de conflictos,Pontifical Catholic University of Valparaíso,Pablo Diez,0,"
        ",46,"conflict resolution,negotiation",Free Online Course,2017-08-28,Finished,Spanish,,6 weeks long
Personal Development,Communication Skills,Effective Questioning for Call Handlers,University of East Anglia,Jamie Murdoch,0,"
        ",37,"communication,customer service,call center",Free Online Course (Audit),2019-02-11,Finished,English,"
              Paid Certificate Available
            ",3 weeks long
Personal Development,Career Development,Digital Skills: Retail,Accenture,Simon Blosse,0,"
        ",55,"digital skills,technology,retail",Free Online Course (Audit),2019-02-04,Finished,English,"
              Paid Certificate Available
            ",3 weeks long
Personal Development,Career Development,Career Management for Early Career Academic Researchers,University of Glasgow,Katrina Gardner,0,"
        ",54,"academics,career planning",Free Online Course (Audit),2019-01-21,Finished,English,"
              Paid Certificate Available
            ",4 weeks long
Personal Development,Self Improvement,Be Ready: Staying Safe During Disasters,International Federation of Red Cross and Red Crescent Societies,Martin Krottmayer,1,"
        ",63,"emergency response,natural disaesters,risk",Free Online Course (Audit),2019-01-14,Finished,English,"
              Paid Certificate Available
            ",2 weeks long
Personal Development,Communication Skills,Communicating Complex Information: Presenting Your Ideas Clearly and Effectively,Purdue University,Dr. Melanie Morgan,0,"
        ",201,"usa,north america",Free Online Course (Audit),2018-12-30,Finished,English,"
              Paid Certificate Available
            ",3 weeks long
Personal Development,Self Improvement,Staying Safe: How to be Prepared in the Modern World,Emergency Planning College,Beverley Griffiths,0,"
        ",68,"safety,emergency preparedness",Free Online Course (Audit),2018-11-19,Finished,English,"
              Paid Certificate Available
            ",3 weeks long
Personal Development,Self Improvement,Professional Resilience: Building Skills to Thrive,Deakin University,Marcus O'Donnell,2,"
        ",553,"resilience,self improvement",Free Online Course (Audit),2018-11-19,Finished,English,"
              Paid Certificate Available
            ",2 weeks long
Personal Development,Self Improvement,Using Creative Problem Solving,National Chiao Tung University,Sirirat Lim,0,"
        ",157,problem solving,Free Online Course (Audit),2018-11-05,Finished,English,"
              Paid Certificate Available
            ",4 weeks long
Personal Development,Communication Skills,Negotiation and Conflict Resolution,Open2Study,Dr Andrew Heys,11,"
        ",1539,,Free Online Course,2018-11-18,Finished,English,,4 weeks long
Personal Development,Self Improvement,Finding Common Ground Teach-Out,University of Michigan,Arthur Lupia,0,"
        ",17,people skills,Free Online Course (Audit),2018-11-05,Finished,English,,6 weeks long
Personal Development,Career Development,Career Credentials: Evidence Your Self-management Skills,Deakin University,Marcus O'Donnell,0,"
        ",228,"self-management,career development",Free Online Course (Audit),2018-10-29,Finished,English,"
              Paid Certificate Available
            ",2 weeks long
Personal Development,Communication Skills,Public Relations Capstone,National University of Singapore,"Tracy Loh, Iccha Basnyat and Mohan Dutta",0,"
        ",37,"capstone,communication,asia,public relations,singapore",,2018-10-01,Finished,English,"
              Paid Certificate Available
            ",5 weeks long
Personal Development,Self Improvement,Emotional Intelligence at Work,Coventry University,Anthony Thompson,0,"
        ",657,"emotional intelligence,workplace",Free Online Course (Audit),2018-09-24,Finished,English,"
              Paid Certificate Available
            ",2 weeks long
Personal Development,Career Development,Career Credentials: Evidence Your Expertise in Digital Literacy,Deakin University,Nicholas Patterson,0,"
        ",110,digital skills,Free Online Course (Audit),2018-09-10,Finished,English,"
              Paid Certificate Available
            ",2 weeks long
Personal Development,Self Improvement,Decision Making in a Complex and Uncertain World,University of Groningen,Lex Hoogduin,34,"
        ",6807,"decision making,decision theory,guatemala,north america",Free Online Course (Audit),2018-09-10,Finished,English,"
              Paid Certificate Available
            ",6 weeks long
Personal Development,Self Improvement,The Way Forward – Easing the Transition Life Skills,Lakeland College,Dale Pearce,0,"
        ",62,"military,transition",Free Online Course,2018-08-27,Finished,English,,26 weeks long
Personal Development,Personal Development,World of Spies: Keeping Secrets,Purdue University,Sheree Buikema,0,"
        ",89,"puzzles,logic,cryptology,espionage",Free Online Course (Audit),2018-09-03,Finished,English,"
              Paid Certificate Available
            ",4 weeks long
Personal Development,Career Development,Career Credentials: Evidence Your Expertise in Problem Solving,Deakin University,Colin Higgins,0,"
        ",208,"problem solving,career development",Free Online Course (Audit),2018-08-06,Finished,English,"
              Paid Certificate Available
            ",2 weeks long
Personal Development,Career Development,Career Credentials: Evidence Your Expertise in Communication,Deakin University,Nicholas Patterson,0,"
        ",95,"communication,career development,workplace",Free Online Course (Audit),2018-07-30,Finished,English,"
              Paid Certificate Available
            ",2 weeks long
Personal Development,Career Development,Career Credentials: Evidence Your Expertise in Teamwork,Deakin University,Andrea North-Samardzic,0,"
        ",50,"teamwork,career development",Free Online Course (Audit),2018-06-25,Finished,English,"
              Paid Certificate Available
            ",2 weeks long
Personal Development,Career Development,Prepare for Career Success at University,"Goldsmiths, University of London",Helen Kempster,0,"
        ",38,"europe,career planning,uk",Free Online Course (Audit),2017-07-10,Finished,English,"
              Paid Certificate Available
            ",3 weeks long
Personal Development,Career Development,Becoming a Digital Citizen: an Introduction to the Digital Society,University of York,"Susan Halfpenny, Alison Kaye, Stephanie Jesper and Heidi Fraser-Krauss",0,"
        ",61,"europe,uk",Free Online Course (Audit),2017-07-10,Finished,English,"
              Paid Certificate Available
            ",3 weeks long
Personal Development,Career Development,Numeracy Skills for Employability and the Workplace,Loughborough University,Tony Croft and Janette Matthews,0,"
        ",97,"mathematics,europe,numeracy tests,uk",Free Online Course (Audit),2017-03-06,Finished,English,"
              Paid Certificate Available
            ",3 weeks long
Personal Development,Career Development,Navigating Your Professional Future,University of Canberra,Jennifer Lawrence,1,"
        ",232,"career planning,australia",Free Online Course,2017-01-16,Finished,English,,6 weeks long
Personal Development,Communication Skills,La négociation salariale,École Polytechnique,Thierry Krief,0,"
        ",32,"negotiation,salary negotation,canada,north america",Free Online Course (Audit),2016-12-19,Finished,French,"
              Paid Certificate Available
            ",4 weeks long
Personal Development,Communication Skills,ga069: 信頼関係を深める 実践コミュニケーション講座,gacco,Hikino Yuiko and Mitsuhiko Matsushima,0,"
        ",2,communication skills,Free Online Course,2016-10-19,Finished,Japanese,,4 weeks long
Personal Development,Career Development,Net That Job: How to Write a CV Online,University of Glasgow,Willie McGuire,1,"
        ",111,"europe,cv writing,uk",Free Online Course (Audit),2016-10-03,Finished,English,"
              Paid Certificate Available
            ",3 weeks long
Personal Development,Career Development,Software libre: Ofimática con OpenOffice,Universidad de Zaragoza,Javier Esteban Escaño and María Luisa Sein-Echaluce Lacleta,0,"
        ",3,"spain,europe,open office,free software",Free Online Course,2016-09-06,Finished,Spanish,,5 weeks long
Personal Development,Self Improvement,Decision Skills: Power Tools to Build Your Life,Decision Education Foundation,Chris Spetzler,2,"
        ",718,,Free Online Course,2016-07-18,Finished,English,"
              Certificate Available
            ",8 weeks long
Personal Development,Personal Development,مهارات حل المشكلات واتخاذ القرارات,Edraak,Mohammed Asad,0,"
        ",8,"decision making,problem solving",Free Online Course,2016-05-03,Finished,Arabic,,4 weeks long
Personal Development,Self Improvement,محاور النجاح الستة,AUB: American University of Beirut,Yusuf Sidani,1,"
        ",28,"asia,success,lebanon",Free Online Course,2016-04-12,Finished,Arabic,,4 weeks long
Personal Development,Communication Skills,مهارات الاتصال,Edraak,Jim Butz and Jafar Zoubi,0,"
        ",8,communication,Free Online Course,2016-04-05,Finished,Arabic,,4 weeks long
Personal Development,Career Development,Getting started into the labour market,Universitat Jaume  I,Noemi Ollero Ramírez and Begoña Bellés Fortuño,0,"
        ",16,"spain,resume,job searching,asia,job interview",Free Online Course,2016-04-04,Finished,English,"
              Certificate Available
            ",4 weeks long
Personal Development,Self Improvement,Emotional Toughness Training,Austin Peay State University,Gregg Steinberg,1,"
        ",338,"motivation,emotions,emotional toughness,usa,north america",Free Online Course,2016-01-25,Finished,English,,6 weeks long
Personal Development,Career Development,Technology and Social Media for Employment Support,Fanshawe College,Chris Kulbaba,0,"
        ",38,"job skills,social media",Free Online Course,2016-01-12,Finished,English,,15 weeks long
Personal Development,Career Development,مهارات مقابلة العمل,Bayt,Amara Zubair and Ahmed Alterani,0,"
        ",17,,Free Online Course,2015-10-28,Finished,Arabic,,3 weeks long
Personal Development,Career Development,Búsqueda de Empleo 2.0,Universidad a Distancia de Madrid,Arina Gruia,0,"
        ",7,"spain,europe,resume,job searching,cv writing",Free Online Course,2015-11-16,Finished,Spanish,"
              Certificate Available
            ",8 weeks long
Personal Development,Self Improvement,DQ 101: Introduction to Decision Quality,Strategic Decisions Group,Carl Spetzler,8,"
        ",411,decision making,Free Online Course,2015-10-15,Finished,English,"
              Certificate Available
            ",5 weeks long
Personal Development,Self Improvement,Introduction to Strategic Thinking,Canvas Network,Sandjar Kozubaev,0,"
        ",509,,Free Online Course,2015-06-22,Finished,English,,3 weeks long
Personal Development,Career Development,Personal Branding for Social Networks,Build Academy,Elsa-Sofia Morote,3,"
        ",206,"social networks,personal branding",Free Online Course,2015-05-11,Finished,English,"
              Certificate Available
            ",7 weeks long
Personal Development,Communication Skills,Gestire il conflitto,Politecnico di Milano,Jelle Zeilstra,3,"
        ",41,"management,conflict resolution,europe,italy",Free Online Course,2019-02-18,In progress,Italian,,5 weeks long
Personal Development,Self Improvement,Penser critique,Université catholique de Louvain,"Anne Bauwens, Myriam De Kesel, Jim Plumat, Olivier Poncelet, Jean-François Rees and Olivier Servais",0,"
        ",27,"critical thinking,fake news",Free Online Course (Audit),2019-02-12,In progress,French,"
              $50 Certificate Available
            ",14 weeks long
Personal Development,Communication Skills,The Strategic Communicator's Toolkit,New Jersey Institute of Technology,Andrew Klobucar,0,"
        ",117,"presentation skills,communication",Free Online Course,2015-10-05,Finished,English,,4 weeks long
Personal Development,Communication Skills,Entrepreneurial Negotiations,Massachusetts Institute of Technology,Lawrence Susskind,0,"
        ",133,"mitx,mitx_pro",,2019-02-11,In progress,English,,6 weeks long
Personal Development,Self Improvement,Success - Unleash Yourself,University of Agder,Andreas Prinz,4,"
        ",2545,"europe,success,norway,goals",Free Online Course,2019-01-07,In progress,English,"
              Certificate Available
            ",9 weeks long
Personal Development,Self Improvement,Solving Complex Problems Capstone,Macquarie University,"Shawn Ross, David Baker and David Christian",0,"
        ",7,"innovation,capstone,problem solving",,2019-03-04,In progress,English,"
              Paid Certificate Available
            ",6 weeks long
Personal Development,Career Development,Digital Skills: Grow Your Career,Accenture,Candida Mottershead,0,"
        ",95,"digital skills,career development",Free Online Course (Audit),2019-03-04,In progress,English,"
              Paid Certificate Available
            ",2 weeks long
Personal Development,Career Development,Becoming Career Smart: How to Sell Yourself,Deakin University,Nicholas Patterson,0,"
        ",383,australia,Free Online Course (Audit),2019-03-04,In progress,English,"
              Paid Certificate Available
            ",2 weeks long
Personal Development,Career Development,Career Success Project,"University of California, Irvine","Margaret  Meloni, Dave Nagy, Patricia  Bravo, MBA, SPHR , David Standen, Rob Stone and Sue Robins, M.S. Ed.",0,"
        ",59,"career planning,success,usa,north america",,2019-03-04,In progress,English,"
              Paid Certificate Available
            ",6 weeks long
Personal Development,Career Development,Career Total Fitness Annual Retreat,State University of New York,"Michele Forte, Dr. Kymn Harvin Rutigliano , Amy Giaculli, Dr. Valeri Chukhlomin, Dr. Tonka Jokelova and Dr. John M. Beckem II",0,"
        ",55,"capstone,career planning,career development,usa,north america",,2019-03-04,In progress,English,"
              Paid Certificate Available
            ",4 weeks long
Personal Development,Self Improvement,Enhancing Soft Skills and Personality,Indian Institute of Technology Kanpur,Prof. T. Ravichandran,0,"
        ",171,,Free Online Course,2019-02-25,In progress,English,"
              Certificate Available
            ",8 weeks long
Personal Development,Career Development,Employment Communication A Lab based course,"Indian Institute of Technology, Kharagpur",Prof. Seema Singh,0,"
        ",41,career planning,Free Online Course,2019-02-25,In progress,English,"
              Certificate Available
            ",8 weeks long
Personal Development,Communication Skills,Visual Presentation,Rochester Institute of Technology,Andrea Hickerson PhD,0,"
        ",258,ritx,Free Online Course (Audit),2019-07-30,Upcoming,English,"
              $49 Certificate Available
            ",3 weeks long
Personal Development,Communication Skills,Habilidades de negociación y comunicación efectiva,Tecnológico de Monterrey,Daniel Meade Monteverde,0,"
        ",50,"negotiation,communication",Free Online Course (Audit),2019-05-20,Upcoming,Spanish,"
              $149 Certificate Available
            ",4 weeks long
Personal Development,Communication Skills,Storytelling in the Workplace,Rochester Institute of Technology,Andrea Hickerson PhD,0,"
        ",364,ritx,Free Online Course (Audit),2019-05-14,Upcoming,English,,3 weeks long
Personal Development,Personal Development,Professional IQ Capstone,University of Illinois at Urbana-Champaign,C. K. Gunsalus,0,"
        ",22,"leadership,capstone,usa,north america,personal growth,2mc",,2019-05-13,Upcoming,English,"
              Paid Certificate Available
            ",4 weeks long
Personal Development,Self Improvement,Wellbeing at Work: An Introduction,Coventry University,MARIA  CHARALAMPOUS,0,"
        ",76,,Free Online Course (Audit),2019-05-13,Upcoming,English,"
              Paid Certificate Available
            ",2 weeks long
Personal Development,Communication Skills,Public Speaking,University of Washington,Matt McGarrity,3,"
        ",7667,ritx,Free Online Course (Audit),2019-07-02,Upcoming,English,,3 weeks long
Personal Development,Career Development,Building Your Career in Tomorrow’s Workplace,University of Exeter,Lisa Harris,0,"
        ",103,career development,Free Online Course (Audit),2019-06-10,Upcoming,English,"
              Paid Certificate Available
            ",2 weeks long
Personal Development,Career Development,Realising Career Potential: Rethinking Disability,Griffith University,Vanette McLennan,0,"
        ",73,"disabilities,career development",Free Online Course (Audit),2019-04-29,Upcoming,English,"
              Paid Certificate Available
            ",2 weeks long
Personal Development,Communication Skills,Conflict Management Project,"University of California, Irvine",Najla DeBow,0,"
        ",94,"conflict resolution,capstone,usa,north america",,2019-04-22,Upcoming,English,"
              Paid Certificate Available
            ",5 weeks long
Personal Development,Communication Skills,Effective Communication in the Globalised Workplace - The Capstone,National University of Singapore,Lee Kooi Cheng and Wu Siew Mei,0,"
        ",53,"communication skills,capstone,asia,singapore",,2019-04-15,Upcoming,English,"
              Paid Certificate Available
            ",6 weeks long
Personal Development,Self Improvement,Using Virtual Scenarios to Create Effective Learning,"St George's, University of London",Terry Poulton,0,"
        ",81,"decision making,learning",Free Online Course (Audit),2019-04-15,Upcoming,English,"
              Paid Certificate Available
            ",3 weeks long
Personal Development,Communication Skills,Los videojuegos como medio de comunicación efectiva,The Pontificia Universidad Javeriana,Carlos Torres,0,"
        ",19,"communication,video games",Free Online Course (Audit),2018-04-30,Self Paced,Spanish,,5 weeks long
Personal Development,Career Development,Preparing to Network in English,University of Washington,Joel Ozretich and Richard Moore,0,"
        ",232,"networking,esl,english",Free Online Course (Audit),2018-06-26,Self Paced,English,"
              $99 Certificate Available
            ",4 weeks long
Personal Development,Career Development,Chasing your Dream: How to End Procrastination and Get a Job You Love,National Research Nuclear University MEPhI,Pavel Kochkin,1,"
        ",359,mephix,Free Online Course (Audit),2018-04-15,Self Paced,English,"
              $49 Certificate Available
            ",5 weeks long
Personal Development,Communication Skills,Business Communications,The University of British Columbia,Marlisse Silver-Sweeney,0,"
        ",493,ubcx,Free Online Course (Audit),2017-11-14,Self Paced,English,"
              $150 Certificate Available
            ",6 weeks long
Personal Development,Career Development,Business Fundamentals: Effective Networking,The Open University,Giacomo Carli,0,"
        ",221,"networking,europe,personal branding,uk",Free Online Course (Audit),2019-08-05,Upcoming,English,"
              Paid Certificate Available
            ",4 weeks long
Personal Development,Communication Skills,Communication Skills for Bridging Divides,Catalyst,"Tolonda M. Tolbert PhD, Jared Cline and Audrey Gallien",1,"
        ",3802,catalystx,Free Online Course (Audit),2018-01-09,Self Paced,English,"
              $25 Certificate Available
            ",1 weeks long
Personal Development,Career Development,"Resume, Networking, and Interview Skills",Fullbridge,Jim Pautz,5,"
        ",2311,fullbridgex,Free Online Course (Audit),2018-03-05,Self Paced,English,"
              $60 Certificate Available
            ",4 weeks long
Personal Development,Communication Skills,Communicating Strategically,Purdue University,Dr. Melanie Morgan and Dr. Bart Collins,0,"
        ",558,purduex,Free Online Course (Audit),2017-01-10,Self Paced,English,,5 weeks long
Personal Development,Career Development,大学生职业素养提升 | Enhancing Your Career Competencies,Peking University,Annie Lv and Mike Zhuang,0,"
        ",36,pekingx,Free Online Course (Audit),2017-07-01,Self Paced,English,,8 weeks long
Personal Development,Career Development,Employability Skills,HTW Berlin - University of Applied Sciences,Antti Kapanen,1,"
        ",538,"europe,employability,germany",Free Online Course,2016-06-07,Self Paced,English,"
              Certificate Available
            ",7 weeks long
Personal Development,Communication Skills,Communication Skills and Teamwork,Fullbridge,Jim Pautz,3,"
        ",2025,fullbridgex,Free Online Course (Audit),2018-03-05,Self Paced,English,,4 weeks long
Personal Development,Career Development,Mi Primer Empleo (MPE),Universidad de Chile,Rodolfo Chiple and Oscar Jerez,0,"
        ",12,"job skills,career development",Free Online Course (Audit),2019-04-01,Upcoming,Spanish,"
              Paid Certificate Available
            ",4 weeks long
Personal Development,Communication Skills,Communication in Virtual and Mobile Work,Canvas Network,"Kalliopi Skarli, Marjatta Rannali and Carmen Herrero",2,"
        ",1810,"communication skills,remote work",Free Online Course,2017-10-30,Self Paced,English,,4 weeks long
Personal Development,Communication Skills,Negotiation  Fundamentals,ESSEC Business School,Aurélien Colson,0,"
        ",264,"europe,france",Free Online Course (Audit),2019-04-01,Upcoming,English,"
              Paid Certificate Available
            ",4 weeks long
Personal Development,Communication Skills,Teamwork Skills: Communicating Effectively in Groups,University of Colorado Boulder,"Matthew A. Koschmann, PhD",0,"
        ",222,"communication,teamwork,collaboration",Free Online Course (Audit),2019-04-01,Upcoming,English,"
              Paid Certificate Available
            ",4 weeks long
Personal Development,Personal Development,Психология призвания,Tomsk State University,Анастасия Стайпек and Олег Лукьянов,0,"
        ",9,,Free Online Course (Audit),2019-04-01,Upcoming,Russian,"
              Paid Certificate Available
            ",5 weeks long
Personal Development,Personal Development,The Arts and Science of Relationships: Understanding Human Needs,University of Toronto,A. Ka Tat Tsang,1,"
        ",2076,,Free Online Course (Audit),2019-04-01,Upcoming,English,"
              Paid Certificate Available
            ",6 weeks long
Personal Development,Career Development,How To Land the Job You Want (Capstone Project),"University of Maryland, College Park",Charles Duquette,0,"
        ",62,"capstone,job searching,usa,north america",,2019-04-01,Upcoming,English,"
              Paid Certificate Available
            ",8 weeks long
Personal Development,Career Development,Excel aplicado a los negocios (Nivel Avanzado),Universidad Austral,Jorge Lardizabal and Paola Serafini,0,"
        ",44,"business,microsoft excel",Free Online Course (Audit),2019-04-01,Upcoming,Spanish,"
              Paid Certificate Available
            ",9 weeks long
Personal Development,Communication Skills,Communication theory: bridging academia and practice,Higher School of Economics,Olga Solovyeva and Maria Mordvinova,0,"
        ",47,"communication,communication theory",Free Online Course (Audit),2019-04-01,Upcoming,English,"
              Paid Certificate Available
            ",9 weeks long
Personal Development,Career Development,How to Get Skilled: Introduction to Individual Skills Management (Project-Centered Course),State University of New York,Dr. Valeri Chukhlomin and Amy Giaculli,0,"
        ",184,"job skills,career development",Free Online Course (Audit),2019-03-25,Upcoming,English,"
              Paid Certificate Available
            ",6 weeks long
Personal Development,Career Development,Career Options: Exploring a New Career,University System of Georgia,"Elke M Leeds, Ph.D., Ana T. Baida, Ed.D., Wes Rhea, J.D. and Dan Stotz",1,"
        ",343,"usa,north america",Free Online Course (Audit),2019-04-01,Upcoming,English,"
              Paid Certificate Available
            ",7 weeks long
Personal Development,Communication Skills,La Solución del Conflicto Ético,Universidad Nacional Autónoma de México,Dra. Irene Durante Montiel,0,"
        ",29,"conflict resolution,ethics,mexico,north america",Free Online Course (Audit),2019-04-01,Upcoming,Spanish,"
              Paid Certificate Available
            ",8 weeks long
Personal Development,Career Development,Advanced Interviewing Techniques,"University of Maryland, College Park",Charles Duquette and Daniela Wagner,2,"
        ",1640,"job interview,star,prep,5w,usa,north america",Free Online Course (Audit),2019-04-01,Upcoming,English,"
              Paid Certificate Available
            ",5 weeks long
Personal Development,Self Improvement,信息社会的机遇和挑战,University of Science and Technology of China,罗昭锋,0,"
        ",5,"china,relationships,asia,opportunities",Free Online Course (Audit),2019-03-26,Upcoming,Chinese,"
              Paid Certificate Available
            ",4 weeks long
Personal Development,Communication Skills,Практика разрешения конфликтов. Я - семья - работа - общество,Tsinghua University,Скавинская Елена Николаевна,0,"
        ",3,"conflict resolution,commuication",Free Online Course (Audit),2019-03-25,Upcoming,Russian,"
              Paid Certificate Available
            ",5 weeks long
Personal Development,Career Development,Shaping Your Professional Brand,University of Illinois at Urbana-Champaign,C. K. Gunsalus,0,"
        ",291,"professional branding,professional relationships,usa,north america",Free Online Course (Audit),2019-03-25,Upcoming,English,"
              Paid Certificate Available
            ",4 weeks long
Personal Development,Self Improvement,Meditation: A way to achieve your goals in your life,Korea Advanced Institute of Science and Technology,Duck-Joo Lee,0,"
        ",278,"self reflection,meditation",Free Online Course (Audit),2019-03-25,Upcoming,English,"
              Paid Certificate Available
            ",6 weeks long
Personal Development,Communication Skills,Cómo enfrentar la primera experiencia laboral.,Universidad de Chile,Rodolfo Chiple,0,"
        ",11,,Free Online Course (Audit),2019-03-25,Upcoming,Spanish,"
              Paid Certificate Available
            ",8 weeks long
Personal Development,Career Development,Как найти свою первую работу? Практический курс для студентов вузов,Higher School of Economics,Алёна Владимирская,0,"
        ",6,"job searching,career planning",Free Online Course (Audit),2019-03-25,Upcoming,Russian,,2 weeks long
Personal Development,Communication Skills,Cómo hablar bien en público,Universitat Autònoma de Barcelona (Autonomous University of Barcelona),Manuel Pimentel Siles,0,"
        ",36,"public speaking,communication skills",Free Online Course (Audit),2019-03-25,Upcoming,Spanish,"
              Paid Certificate Available
            ",5 weeks long
Personal Development,Communication Skills,Les Fondamentaux de la Négociation,ESSEC Business School,Aurélien Colson,0,"
        ",43,negotiation,Free Online Course (Audit),2019-03-25,Upcoming,French,"
              Paid Certificate Available
            ",5 weeks long
Personal Development,Self Improvement,Psychology at Work,University of Western Australia,"Lena Wang, Marylène Gagné, Mark Griffin, Aleksandra Luksyte, Sharon Parker, Zhijun Chen, Patrick Dunlop and Kerrie Unsworth",2,"
        ",7159,"leadership,teamwork,motivation,work life,australia",Free Online Course (Audit),2019-03-25,Upcoming,English,"
              Paid Certificate Available
            ",6 weeks long
Personal Development,Communication Skills,Strengthening Your Widening Network,National University of Singapore,Sarah Chong,0,"
        ",201,"communication skills,meetings,asia,interpersonal skills,singapore",Free Online Course (Audit),2019-03-25,Upcoming,English,"
              Paid Certificate Available
            ",3 weeks long
Personal Development,Self Improvement,Aprendiendo a aprender: Poderosas herramientas mentales con las que podrás dominar temas difíciles (Learning How to Learn),"University of California, San Diego ",Dr. Barbara Oakley and Terrence Sejnowski,7,"
        ",35,"learning skills,usa,north america",Free Online Course (Audit),2019-03-25,Upcoming,Spanish,"
              Paid Certificate Available
            ",4 weeks long
Personal Development,Self Improvement,Aprendendo a aprender: ferramentas mentais poderosas para ajudá-lo a dominar assuntos difíceis (em Português) [Learning How to Learn],"University of California, San Diego ",Dr. Barbara Oakley and Terrence Sejnowski,3,"
        ",71,"learning,thinking,mental tools,usa,north america",Free Online Course (Audit),2019-03-25,Upcoming,Portuguese,"
              Paid Certificate Available
            ",4 weeks long
Personal Development,Personal Development,Psychodiagnostics and Psychological Assessment,Tomsk State University,Валерия Николаевна Петрова,0,"
        ",143,,Free Online Course (Audit),2019-03-25,Upcoming,English,"
              Paid Certificate Available
            ",5 weeks long
Personal Development,Communication Skills,Los obstáculos y la conducción en las negociaciones,Universidad Nacional Autónoma de México,Fernando Guerra,0,"
        ",43,"negotiation,mexico,north america",Free Online Course (Audit),2019-03-25,Upcoming,Spanish,"
              Paid Certificate Available
            ",4 weeks long
Personal Development,Personal Development,Основы поиска дела жизни. Часть 1. Как перестать откладывать дела на потом?,National Research Nuclear University MEPhI,Кочкин Павел,0,"
        ",24,russia,Free Online Course (Audit),2019-03-25,Upcoming,Russian,"
              Paid Certificate Available
            ",5 weeks long
Personal Development,Career Development,Successful Interviewing,"University of Maryland, College Park",Charles Duquette and Daniela Wagner,1,"
        ",6291,"communication,job interview,usa,north america",Free Online Course (Audit),2019-03-25,Upcoming,English,"
              Paid Certificate Available
            ",5 weeks long
Personal Development,Career Development,Power Onboarding,Northwestern University,William White,0,"
        ",137,"usa,north america",Free Online Course (Audit),2019-03-25,Upcoming,English,"
              Paid Certificate Available
            ",4 weeks long
Personal Development,Career Development,Excel Skills for Business: Intermediate II,Macquarie University,Dr Yvonne Breyer,0,"
        ",300,"business,microsoft excel",Free Online Course (Audit),2019-03-18,Upcoming,English,"
              Paid Certificate Available
            ",6 weeks long
Personal Development,Communication Skills,Proyecto final sobre negociación para un mejor clima laboral,Universidad Nacional Autónoma de México,Fernando Guerra,0,"
        ",3,"negotiation,capstone,communication,mexico,north america",,2019-03-25,Upcoming,Spanish,"
              Paid Certificate Available
            ",4 weeks long
